Size;Time
71600;13509700
71700;13647700
71800;13160900
71900;13554300
72000;13493800
72100;13880300
72200;13671100
72300;13885900
72400;14176300
72500;13392900
72600;13257800
72700;14031800
72800;14089100
72900;14016200
73000;13821800
73100;14092000
73200;13904500
73300;14444600
73400;13771300
73500;13980700
73600;13758300
73700;13691900
73800;13800200
73900;14059400
74000;13502000
74100;13746100
74200;14309600
74300;14379100
74400;14474900
74500;13652100
74600;13898700
74700;14225100
74800;13667200
74900;14956900
75000;13980900
75100;14194000
75200;14395200
75300;13986000
75400;14134400
75500;14010800
75600;14332900
75700;14466900
75800;14265800
75900;13934000
76000;13673500
76100;14558100
76200;14181200
76300;15377000
76400;15071800
76500;14155800
76600;14513900
76700;14090300
76800;15062000
76900;14686100
77000;15049900
77100;14340500
77200;14766800
77300;14536900
77400;15537700
77500;14701600
77600;15403600
77700;15398400
77800;14216600
77900;14958900
78000;15307000
78100;15077500
78200;15150500
78300;14809200
78400;15077000
78500;14799400
78600;15139200
78700;15260000
78800;14474900
78900;15464900
79000;14844600
79100;15521200
79200;15604700
79300;15439600
79400;14750400
79500;15204200
79600;15462400
79700;15439800
79800;15251700
79900;15435100
80000;15083000
80100;15680700
80200;15575500
80300;15507100
80400;15142900
80500;15622700
80600;15861300
80700;15116300
80800;15589500
80900;15738700
81000;15373500
81100;15351000
81200;15388300
81300;15314300
81400;15892900
81500;15374200
81600;15912700
81700;16902800
81800;15421300
81900;15588400
82000;16213000
82100;16075500
82200;15317900
82300;15922200
82400;15789800
82500;15589900
82600;15673400
82700;15796000
82800;15748700
82900;16285200
83000;15512500
83100;15587500
83200;16016700
83300;15357300
83400;16012800
83500;15871200
83600;16935200
83700;16101500
83800;15974600
83900;16192100
84000;16058500
84100;16884800
84200;16288400
84300;16405000
84400;15717200
84500;16569400
84600;17090400
84700;16130500
84800;17002800
84900;15871300
85000;16645400
85100;15934900
85200;16630500
85300;15762700
85400;16180600
85500;16436800
85600;16706300
85700;17258900
85800;16468800
85900;16632500
86000;16122700
86100;15772100
86200;16415600
86300;16884700
86400;16780900
86500;16665900
86600;17165300
86700;17113900
86800;17186800
86900;16853900
87000;17014200
87100;17215400
87200;16470700
87300;17423900
87400;16535000
87500;16825400
87600;17219300
87700;16980600
87800;16723700
87900;17107900
88000;17502500
88100;16613200
88200;17817200
88300;16918300
88400;16944900
88500;18148700
88600;16353200
88700;17199300
88800;17032400
88900;16580600
89000;17364300
89100;17582400
89200;17238700
89300;17732700
89400;17362500
89500;18037300
89600;17663400
89700;17814500
89800;17961800
89900;17579300
90000;19284400
90100;18309800
90200;17195500
90300;17170400
90400;17850900
90500;18186800
90600;17940500
90700;17548600
90800;17557000
90900;18572700
91000;17705100
91100;17430800
91200;17856300
91300;17768600
91400;17766100
91500;17519000
91600;17305800
91700;17718600
91800;17436700
91900;17430600
92000;18749900
92100;17363600
92200;17975300
92300;18310900
92400;17645400
92500;18344100
92600;17843100
92700;18045800
92800;17551800
92900;17635600
93000;17844400
93100;18249500
93200;17933700
93300;18005200
93400;18337800
93500;18018400
